day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,58,150,24,62,1,8,13,41,1,0,5,18,0,18,1,16,0,0,24,62,1,8,13,41,1,0,-61,0.0,1,1,0,2,0,0,0
1,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,30,0,0,0,0,0,0,0,0,0,4,3,0,1,3,17,0,2,3,62,1,8,13,5,1,0,-1250,0.0,25,0,0,25,0,0,0
2,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,38,62,10,20,1,7,3,21,0,0,0,18,1,3,2,14,0,0,13,82,2,15,16,21,1,0,-861,0.0,17,1,0,18,0,0,0
3,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,53,0,0,0,0,0,0,0,0,0,3,19,0,0,4,27,0,0,13,82,2,15,16,0,1,0,-2650,0.0,53,0,0,53,0,0,0
4,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,61,21,4,7,0,1,0,9,0,0,9,21,0,0,8,22,0,1,17,89,2,16,16,9,1,0,-7968,0.0,52,0,5368,52,0,0,0
5,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,53,85,8,32,1,3,3,34,3,1,5,24,0,4,4,16,0,0,22,59,2,11,6,34,3,1,-961,0.0,19,1,0,20,0,0,0
6,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,31,0,0,0,0,0,0,0,0,0,2,11,1,5,2,9,0,1,22,59,2,11,6,0,3,1,-2751,0.0,30,0,1251,30,0,0,0
7,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,36,87,12,26,0,5,15,27,1,1,0,22,0,4,0,9,1,0,24,65,1,9,18,27,4,2,-411,0.0,8,1,0,9,0,0,0
8,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,95,0,0,0,0,0,0,0,0,0,3,27,0,9,20,34,0,2,24,65,1,9,18,0,4,1,-5840,0.0,94,0,1140,94,0,0,0
9,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,53,41,2,17,0,1,6,14,0,1,5,23,0,1,5,18,0,1,22,75,0,9,24,14,4,2,-4547,0.0,39,0,2597,39,0,0,0
10,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,46,36,7,13,0,1,0,15,0,0,1,14,2,6,0,22,0,1,21,56,0,7,21,15,1,2,-1550,0.0,31,0,0,31,0,0,0
11,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,31,21,4,10,1,1,1,4,0,0,6,10,0,2,2,11,0,0,25,66,1,8,22,4,1,2,-3210,0.0,27,0,1860,27,0,0,0
12,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,18,68,3,28,0,6,4,26,1,0,1,5,0,1,0,6,0,5,16,68,1,9,11,26,1,1,0,0.0,0,0,0,0,0,0,0
13,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,27,0,0,0,0,0,0,0,0,0,3,12,1,1,2,8,0,0,16,68,1,9,11,8,1,1,-1679,0.0,19,0,729,19,0,0,0
14,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,85,70,5,27,0,4,4,29,0,1,6,29,0,9,0,39,0,2,19,78,1,12,9,29,1,1,-4535,0.0,55,0,1785,55,0,0,0
15,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,88,10,1,6,0,0,0,2,1,0,8,23,0,3,7,39,0,8,13,71,1,11,8,2,2,1,-5580,0.0,85,0,1330,85,0,0,0
16,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,64,51,8,22,0,4,4,12,0,1,2,19,1,9,7,23,0,3,17,83,0,14,12,12,2,2,-5214,0.0,51,0,2664,51,0,0,0
17,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,73,23,1,8,1,3,0,9,1,0,4,24,0,4,5,32,0,4,15,63,1,11,8,9,2,2,-3161,0.0,63,1,0,64,0,0,0
18,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,45,36,6,12,0,0,4,14,0,0,0,17,2,3,4,17,1,1,21,75,0,11,12,14,2,2,-3395,0.0,31,0,1845,31,0,0,0
19,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,32,46,6,17,0,3,0,20,0,0,3,16,0,0,0,12,0,1,22,65,0,10,8,20,2,1,-856,0.0,12,0,256,12,0,0,0
20,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,15,24,3,8,0,1,4,8,0,0,0,7,0,0,2,6,0,0,24,67,0,11,12,8,1,1,-946,0.0,7,1,585,8,0,0,0
21,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,75,57,13,21,1,0,3,18,0,1,2,25,2,5,6,35,0,0,29,66,1,7,11,18,1,1,-3711,0.0,56,0,911,56,0,0,0
22,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,68,8,0,3,0,1,1,3,0,0,6,19,0,2,4,34,0,3,28,61,1,5,12,3,0,1,-4746,0.0,65,0,1496,65,0,0,0
23,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,102,59,7,19,1,3,6,23,0,0,12,37,2,6,5,36,0,4,29,68,2,8,14,23,0,1,-6602,0.0,79,0,2652,79,0,0,0
24,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,77,18,3,5,0,0,2,6,0,2,6,11,4,17,9,30,0,0,26,56,2,5,16,6,0,3,-4743,0.0,70,1,1232,71,0,0,0
25,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,56,47,6,27,0,1,2,11,0,0,3,28,0,8,0,17,0,0,29,75,1,5,14,11,0,3,-4299,0.0,44,0,2099,44,0,0,0
26,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,20,25,2,9,0,2,5,7,0,0,0,8,2,4,0,6,0,0,18,63,1,7,16,7,0,2,-700,0.0,12,0,100,12,0,0,0
27,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,49,31,7,9,0,1,1,13,0,0,4,23,0,5,3,14,0,0,24,69,1,7,16,13,0,2,-3515,0.0,36,0,1715,36,0,0,0
28,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,85,48,12,19,0,2,0,14,0,1,2,38,0,13,3,28,0,1,30,69,0,6,10,14,0,3,-4465,0.0,70,0,965,70,0,0,0
29,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,62,10,1,4,1,0,0,4,0,0,2,24,2,6,4,22,0,2,28,68,1,6,8,4,0,1,-5132,0.0,58,0,2232,58,0,0,0
30,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,74,68,8,26,0,3,9,20,0,2,10,25,1,5,5,26,0,2,30,67,1,8,15,20,0,3,-3982,0.0,53,0,1332,53,0,0,0
31,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,57,0,0,0,0,0,0,0,0,0,3,23,4,3,0,22,0,2,28,58,0,6,10,0,0,3,-3876,0.0,57,0,1026,57,0,0,0
32,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,27,63,9,22,0,3,3,24,0,2,0,16,1,0,0,10,0,0,30,71,0,8,12,24,0,5,-1079,0.0,3,1,918,4,0,0,0
33,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,9,19,3,7,1,2,1,5,0,0,2,5,0,0,0,2,0,0,21,59,1,8,13,5,0,4,-245,0.0,4,0,45,4,0,0,0
34,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,30,35,9,8,0,2,1,15,0,0,3,9,0,0,3,15,0,0,29,63,1,10,14,15,0,4,-2223,0.0,15,3,1440,18,0,0,0
35,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,53,57,6,24,1,2,3,18,0,3,1,18,5,0,3,22,2,2,27,61,2,9,8,18,0,5,-1750,0.0,35,0,0,35,0,0,0
36,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,97,0,0,0,0,0,0,0,0,0,3,37,1,3,10,37,2,4,27,61,2,9,8,0,0,5,-8633,0.0,97,0,3783,97,0,0,0
37,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,70,77,15,23,0,7,9,21,0,2,2,12,6,7,4,37,0,2,33,62,2,13,14,21,0,5,-3496,0.0,49,6,980,55,0,0,0
38,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,75,0,0,0,0,0,0,0,0,0,9,26,0,5,0,28,2,5,30,55,1,11,13,0,0,5,-5250,0.0,75,0,1500,75,0,0,0
39,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,31,55,10,23,2,2,3,13,0,2,2,15,0,2,4,6,2,0,31,70,3,11,15,13,0,7,-2109,0.0,18,0,1209,18,0,0,0
40,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,11,10,3,3,0,0,0,4,0,0,3,6,0,0,0,2,0,0,28,49,2,9,12,4,0,4,-350,0.0,7,0,0,7,0,0,0
41,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,41,40,7,15,0,2,5,11,0,0,0,22,0,1,0,16,2,0,35,64,2,11,17,11,0,4,-3696,0.0,28,1,2285,29,0,0,0
42,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,49,44,15,15,0,3,4,7,0,0,4,24,0,5,7,9,0,0,35,56,2,7,12,7,0,2,-2100,0.0,42,0,0,42,0,0,0
43,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,66,0,0,0,0,0,0,0,0,0,9,22,2,7,7,17,0,2,35,56,2,7,12,0,0,2,-6072,0.0,66,0,2772,66,0,0,0
44,True,reg_21,request_scratch,cau100_afr0_asi0_21,regional_21,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,39,78,13,29,2,4,6,23,0,1,2,7,1,2,5,21,0,1,38,62,2,9,15,23,0,1,-1100,0.0,16,6,234,22,0,0,0
