day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_18,request_scratch,cau100_afr0_asi0_18,regional_18,50,150,912,70,0,1,0.01,0.1585,0.001,0.98,50,75,150,26,56,5,9,14,38,0,2,6,29,0,0,5,31,3,1,26,56,5,9,14,38,0,2,-1266,0.0,24,6,0,30,0,0,0
1,True,reg_18,request_scratch,cau100_afr0_asi0_18,regional_18,50,150,912,70,0,1,0.01,0.1585,0.001,0.98,50,46,0,0,0,0,0,0,0,0,0,2,17,0,11,0,14,2,0,25,54,0,7,13,0,0,0,-2150,0.0,43,0,0,43,0,0,0
2,True,reg_18,request_scratch,cau100_afr0_asi0_18,regional_18,50,150,912,70,0,1,0.01,0.1585,0.001,0.98,50,100,54,8,24,0,5,6,10,1,0,11,40,4,5,5,35,0,0,32,78,0,12,17,10,1,0,-3900,0.0,78,0,0,78,0,0,0
3,True,reg_18,request_scratch,cau100_afr0_asi0_18,regional_18,50,150,912,70,0,1,0.01,0.1585,0.001,0.98,50,60,0,0,0,0,0,0,0,0,0,4,20,3,4,7,20,0,2,31,74,0,10,13,0,0,0,-2861,0.0,57,1,0,58,0,0,0
4,True,reg_18,request_scratch,cau100_afr0_asi0_18,regional_18,50,150,912,70,0,1,0.01,0.1585,0.001,0.98,50,50,25,2,9,0,2,1,10,0,1,2,20,0,3,2,23,0,0,31,83,0,11,14,10,0,1,-5932,0.0,37,0,4082,37,0,0,0
5,True,reg_18,request_scratch,cau100_afr0_asi0_18,regional_18,50,150,912,70,0,1,0.01,0.1585,0.001,0.98,50,29,79,6,30,3,9,6,24,0,1,0,11,0,3,0,13,2,0,16,63,3,16,13,24,0,1,-161,0.0,3,1,0,4,0,0,0
6,True,reg_18,request_scratch,cau100_afr0_asi0_18,regional_18,50,150,912,70,0,1,0.01,0.1585,0.001,0.98,50,31,0,0,0,0,0,0,0,0,0,4,11,2,0,0,14,0,0,16,62,3,15,13,0,0,1,-2551,0.0,26,1,1240,27,0,0,0
7,True,reg_18,request_scratch,cau100_afr0_asi0_18,regional_18,50,150,912,70,0,1,0.01,0.1585,0.001,0.98,50,31,83,11,32,1,6,6,27,0,0,0,7,0,9,0,13,0,2,19,71,2,17,13,27,0,1,-61,0.0,1,1,0,2,0,0,0
8,True,reg_18,request_scratch,cau100_afr0_asi0_18,regional_18,50,150,912,70,0,1,0.01,0.1585,0.001,0.98,50,73,0,0,0,0,0,0,0,0,0,3,28,0,10,2,30,0,0,19,71,1,16,12,1,0,0,-4287,0.0,68,1,876,69,0,0,0
9,True,reg_18,request_scratch,cau100_afr0_asi0_18,regional_18,50,150,912,70,0,1,0.01,0.1585,0.001,0.98,50,77,47,7,13,1,8,2,16,0,0,2,29,0,13,5,23,0,5,24,75,1,23,11,16,0,0,-5887,0.0,52,0,3287,52,0,0,0
10,True,reg_18,request_scratch,cau100_afr0_asi0_18,regional_18,50,150,912,70,0,1,0.01,0.1585,0.001,0.98,50,87,35,11,8,0,2,2,11,0,1,9,37,0,4,7,23,0,7,29,53,0,16,10,11,0,1,-3400,0.0,68,0,0,68,0,0,0
11,True,reg_18,request_scratch,cau100_afr0_asi0_18,regional_18,50,150,912,70,0,1,0.01,0.1585,0.001,0.98,50,58,25,6,10,0,0,1,8,0,0,8,14,0,4,4,23,0,5,33,61,0,13,10,8,0,1,-4801,0.0,44,1,2590,45,0,0,0
12,True,reg_18,request_scratch,cau100_afr0_asi0_18,regional_18,50,150,912,70,0,1,0.01,0.1585,0.001,0.98,50,21,63,10,24,0,4,8,15,1,1,3,6,0,1,0,11,0,0,34,55,0,14,13,15,1,1,-200,0.0,4,0,0,4,0,0,0
13,True,reg_18,request_scratch,cau100_afr0_asi0_18,regional_18,50,150,912,70,0,1,0.01,0.1585,0.001,0.98,50,43,0,0,0,0,0,0,0,0,0,7,15,0,1,4,12,2,2,33,55,0,14,13,0,0,1,-3217,0.0,40,0,1217,40,0,0,0
14,True,reg_18,request_scratch,cau100_afr0_asi0_18,regional_18,50,150,912,70,0,1,0.01,0.1585,0.001,0.98,50,46,64,14,26,4,6,1,13,0,0,0,18,0,4,3,21,0,0,41,68,4,12,12,13,0,0,-2563,0.0,31,0,1013,31,0,0,0
