day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon anneal,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
20,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,38,4,0,2,1,0,0,1,0,0,0,16,2,0,2,12,0,6,20,45,1,2,2,30,0,1,-1222,0.0,24,2,0,26,0,0,0
21,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,52,60,11,19,2,5,1,21,0,1,6,18,3,5,4,14,0,2,27,62,2,5,1,49,0,1,-3703,0.0,38,1,1792,39,0,0,0
22,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,99,0,0,0,0,0,0,0,0,0,7,38,2,12,7,30,3,0,18,44,0,3,0,38,0,0,-3911,0.0,78,1,0,79,0,0,0
23,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,55,68,8,27,1,2,5,25,0,0,1,17,4,3,3,24,2,1,18,67,1,2,5,57,0,0,-3478,0.0,40,0,1478,40,0,0,0
24,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,67,0,0,0,0,0,0,0,0,0,7,27,3,0,5,23,0,2,14,48,0,0,1,47,0,0,-2306,0.0,45,2,34,47,0,0,0
25,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,72,62,5,21,0,5,4,27,0,0,4,21,2,2,6,29,1,7,12,63,0,5,4,66,0,0,-4476,0.0,51,1,1915,52,0,0,0
26,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,39,0,0,0,0,0,0,0,0,0,6,7,0,2,10,12,0,2,6,48,0,0,0,52,0,0,-1522,0.0,30,2,0,32,0,0,0
27,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,20,53,10,20,0,3,7,13,0,0,7,6,2,0,0,5,0,0,13,66,0,3,7,61,0,0,-1596,0.0,14,0,896,14,0,0,0
28,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,34,0,0,0,0,0,0,0,0,0,3,5,5,0,2,17,0,2,10,41,0,3,6,40,0,0,-1194,0.0,23,4,0,27,0,0,0
29,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,50,61,12,22,0,4,2,21,0,0,9,11,0,4,5,18,0,3,20,60,0,4,7,59,0,0,-3738,0.0,34,2,2016,36,0,0,0
30,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,55,0,0,0,0,0,0,0,0,0,1,19,2,2,9,22,0,0,16,42,0,0,3,34,0,0,-2161,0.0,43,1,0,44,0,0,0
31,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,36,67,7,29,2,6,3,17,0,3,1,18,0,5,3,9,0,0,21,66,2,6,3,49,0,3,-2086,0.0,24,1,875,25,0,0,0
32,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,30,0,0,0,0,0,0,0,0,0,3,14,0,4,0,9,0,0,19,51,0,6,3,38,0,0,-1122,0.0,22,2,0,24,0,0,0
33,True,reg_3,request_scratch,cau100_afr0_asi0_3,regional_3,50,150,912,70,0,1,0.01,0.6,0.001,0.98,50,20,41,9,13,1,3,2,9,0,4,3,4,0,0,0,13,0,0,26,62,1,6,5,46,0,4,-1279,0.0,6,4,935,10,0,0,0
