day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon anneal,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,59,150,22,50,2,5,15,54,0,2,1,25,0,6,5,22,0,0,22,50,2,5,15,54,0,2,-2444,0.0,48,4,0,52,0,0,0
1,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,45,0,0,0,0,0,0,0,0,0,2,16,0,4,6,17,0,0,21,47,0,3,14,54,0,0,-2000,0.0,40,0,0,40,0,0,0
2,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,68,16,3,5,0,1,0,7,0,0,8,23,0,1,6,29,1,0,22,52,0,4,12,60,0,0,-2972,0.0,59,2,0,61,0,0,0
3,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,61,0,0,0,0,0,0,0,0,0,3,19,0,5,5,26,0,3,19,51,0,0,11,60,0,0,-2650,0.0,53,0,0,53,0,0,0
4,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,65,17,3,7,0,1,2,4,0,0,2,26,0,7,2,22,0,6,21,56,0,1,10,62,0,0,-10238,0.0,57,0,7388,57,0,0,0
5,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,21,101,14,40,0,9,10,26,0,2,0,4,1,4,4,8,0,0,20,52,0,10,12,37,0,2,-822,0.0,16,2,0,18,0,0,0
6,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,33,0,0,0,0,0,0,0,0,0,0,10,0,4,3,16,0,0,20,52,0,8,10,37,0,1,-2046,0.0,31,1,485,32,0,0,0
7,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,57,38,6,9,0,3,1,18,1,0,4,24,0,4,0,23,2,0,23,56,0,11,11,48,1,0,-2461,0.0,49,1,0,50,0,0,0
8,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,114,0,0,0,0,0,0,0,0,0,13,50,1,8,11,29,2,0,22,55,0,10,10,45,0,0,-5858,0.0,102,1,747,103,0,0,0
9,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,103,26,4,8,2,3,2,6,0,1,16,35,1,7,2,28,2,12,20,57,2,12,11,47,0,1,-12940,0.0,90,1,8429,91,0,0,0
10,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,62,65,11,27,0,4,1,20,0,2,3,26,0,1,9,20,1,2,21,44,0,10,4,44,0,3,-2961,0.0,59,1,0,60,0,0,0
11,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,45,0,0,0,0,0,0,0,0,0,0,20,2,3,0,20,0,0,21,42,0,10,3,44,0,3,-3391,0.0,38,3,1458,41,0,0,0
12,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,35,64,11,22,1,4,5,17,1,3,7,20,0,3,1,4,0,0,26,57,1,11,8,43,1,3,-1550,0.0,31,0,0,31,0,0,0
13,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,25,0,0,0,0,0,0,0,0,0,0,9,0,1,6,5,0,4,26,56,1,11,7,42,0,3,-1711,0.0,24,1,500,25,0,0,0
14,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,46,25,9,6,0,0,0,10,0,0,0,21,0,2,4,19,0,0,31,55,0,8,6,47,0,3,-4468,0.0,36,4,2624,40,0,0,0
15,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,44,39,3,14,0,0,8,13,1,0,1,11,0,8,2,20,2,0,23,42,0,4,13,40,1,2,-1861,0.0,37,1,0,38,0,0,0
16,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,50,0,0,0,0,0,0,0,0,0,1,24,0,4,2,11,0,8,23,39,0,4,12,38,0,2,-4720,0.0,42,1,2609,43,0,0,0
17,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,37,87,17,36,0,4,8,22,0,0,3,9,0,5,2,11,0,7,29,56,0,4,16,45,0,0,-1650,0.0,33,0,0,33,0,0,0
18,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,32,0,0,0,0,0,0,0,0,0,5,14,0,2,1,6,0,4,29,55,0,2,16,44,0,0,-2159,0.0,29,0,709,29,0,0,0
19,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,12,29,2,14,0,3,1,9,0,0,0,2,0,1,0,7,0,2,22,64,0,3,17,44,0,0,-821,0.0,8,0,421,8,0,0,0
20,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,37,9,0,5,0,0,1,3,0,0,3,10,0,5,2,14,0,3,19,55,0,3,10,34,0,0,-1611,0.0,32,1,0,33,0,0,0
