day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,79,150,20,56,2,6,11,50,2,3,15,28,0,4,4,24,2,2,20,56,2,6,11,50,2,3,-3800,0.0,76,0,0,76,0,0,0
1,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,39,0,0,0,0,0,0,0,0,0,5,14,0,2,5,12,0,1,20,56,2,5,11,50,0,3,-1900,0.0,38,0,0,38,0,0,0
2,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,74,4,1,1,0,0,0,2,0,0,1,26,1,3,5,35,0,3,21,57,2,5,10,52,0,3,-3700,0.0,74,0,0,74,0,0,0
3,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,31,0,0,0,0,0,0,0,0,0,0,16,0,2,0,13,0,0,21,57,2,5,10,52,0,3,-1500,0.0,30,0,0,30,0,0,0
4,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,43,1,0,0,0,0,0,1,0,0,7,11,0,2,2,19,0,2,20,57,2,5,10,53,0,3,-8385,0.0,43,0,6235,43,0,0,0
5,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,40,144,21,58,1,11,10,37,2,4,5,6,0,4,4,13,2,6,22,59,1,11,10,40,2,4,-1900,0.0,38,0,0,38,0,0,0
6,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,35,0,0,0,0,0,0,0,0,0,6,15,0,3,1,8,2,0,22,59,1,11,10,40,0,4,-1837,0.0,34,0,137,34,0,0,0
7,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,51,7,2,3,0,0,1,1,0,0,3,17,0,4,1,26,0,0,23,61,1,11,11,39,0,4,-2550,0.0,51,0,0,51,0,0,0
8,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,68,0,0,0,0,0,0,0,0,0,6,18,2,8,7,20,0,7,23,61,1,11,11,39,0,4,-3468,0.0,68,0,68,68,0,0,0
9,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,45,1,0,1,0,0,0,0,0,0,0,11,4,3,7,19,0,1,23,62,1,11,11,38,0,4,-8640,0.0,45,0,6390,45,0,0,0
10,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,44,141,24,49,1,9,11,44,1,2,1,17,2,0,3,19,0,2,26,53,1,9,12,45,1,2,-2150,0.0,43,0,0,43,0,0,0
11,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,31,0,0,0,0,0,0,0,0,0,2,8,2,3,2,10,0,4,26,53,1,9,12,45,0,2,-1767,0.0,31,0,217,31,0,0,0
12,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,31,9,0,3,0,1,0,5,0,0,0,12,0,2,4,9,0,4,24,53,1,10,11,49,0,2,-1500,0.0,30,0,0,30,0,0,0
13,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,29,0,0,0,0,0,0,0,0,0,2,15,0,4,0,8,0,0,24,53,1,9,11,49,0,2,-1479,0.0,29,0,29,29,0,0,0
14,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,46,2,0,0,1,0,0,1,0,0,1,24,0,5,4,11,1,0,24,52,2,9,11,50,0,2,-8600,0.0,45,0,6350,45,0,0,0
15,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,53,137,20,48,1,5,4,56,2,1,1,15,3,2,3,23,2,4,20,51,2,6,4,62,2,1,-2550,0.0,51,0,0,51,0,0,0
16,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,52,0,0,0,0,0,0,0,0,0,2,17,2,0,5,26,0,0,20,51,2,6,4,62,0,1,-3029,0.0,51,1,468,52,0,0,0
17,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,29,14,1,7,1,1,0,3,0,1,0,8,3,0,4,14,0,0,21,55,3,6,4,60,0,1,-1450,0.0,29,0,0,29,0,0,0
18,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,37,0,0,0,0,0,0,0,0,0,4,5,0,8,5,13,0,2,21,55,3,6,4,60,0,1,-1881,0.0,36,1,70,37,0,0,0
19,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,4,2,0,1,0,1,0,0,0,0,0,2,0,0,2,0,0,0,21,56,2,7,4,59,0,1,-736,0.0,4,0,536,4,0,0,0
20,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,25,132,15,58,0,5,5,46,1,2,2,11,0,2,4,6,0,0,16,66,1,7,5,49,1,3,-1200,0.0,24,0,0,24,0,0,0
21,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,53,0,0,0,0,0,0,0,0,0,6,13,0,6,4,21,0,3,16,66,1,7,5,49,0,3,-3392,0.0,53,0,742,53,0,0,0
22,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,45,17,1,8,0,1,0,7,0,0,6,18,1,0,6,11,0,3,16,67,0,7,5,53,0,2,-2250,0.0,45,0,0,45,0,0,0
23,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,50,0,0,0,0,0,0,0,0,0,6,21,0,6,4,12,0,1,16,67,0,7,5,53,0,2,-2550,0.0,49,0,100,49,0,0,0
24,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,61,3,0,3,0,0,0,0,0,0,0,26,0,0,7,27,0,1,15,69,0,6,5,53,0,2,-10980,0.0,61,0,7930,61,0,0,0
25,True,reg_2,request_scratch,cau100_afr0_asi0_2,regional_2,50,150,912,70,0,1,0.01,0.01,0.001,0.98,50,33,127,24,45,2,15,7,34,0,0,2,15,0,2,2,9,0,3,25,56,2,16,7,41,0,0,-1600,0.0,32,0,0,32,0,0,0
