CREATING ENVIRONMENT
CREATING DQN
alpha: 0.001, gamma: 0.99, batch size: 50.

Episode: 0
Day 243, reward -2252.0
Day 244, reward -1198.0
Day 245, reward -1061.0
Day 246, reward -10225.0
Day 247, reward -4750.0
Day 248, reward -5866.0
Day 249, reward -3539.0
Day 250, reward -1856.0
Day 251, reward -2973.0
Day 252, reward -2161.0
Day 253, reward -6772.0
Day 254, reward -4200.0
Day 255, reward -9888.0
Day 256, reward -4243.0
Day 257, reward -1863.0
Day 258, reward -2406.0
Day 259, reward -1911.0
Day 260, reward -3346.0
Day 261, reward -3172.0
Day 262, reward -3945.0
Day 263, reward -1459.0
Day 264, reward -2522.0
Day 265, reward -1051.0
Day 266, reward -2530.0
Day 267, reward -1557.0
Day 268, reward -1932.0
Day 269, reward -3645.0
Day 270, reward -761.0
Day 271, reward -1322.0
Day 272, reward -661.0
Day 273, reward -2671.0
Day 274, reward -2252.0
Day 275, reward -4145.0
Day 276, reward -5256.0
Day 277, reward -2000.0
Day 278, reward -2103.0
Day 279, reward -250.0
Day 280, reward -5948.0
Day 281, reward -2734.0
Day 282, reward -3816.0
Day 283, reward -3248.0
Day 284, reward -2854.0
Day 285, reward -2377.0
Day 286, reward -772.0
Day 287, reward -3048.0
Day 288, reward -2411.0
Day 289, reward -4142.0
Day 290, reward -4165.0
Day 291, reward -3200.0
Day 292, reward -3995.0
Day 293, reward -2450.0
Day 294, reward -5075.0
Day 295, reward -4000.0
Day 296, reward -7028.0
Day 297, reward -4823.0
Day 298, reward -2857.0
Day 299, reward -373.0
./shells/epsilons.sh: line 2: 13708 Killed                  python3 -u experiments.py --epsilon 0.4
CREATING ENVIRONMENT
CREATING DQN
alpha: 0.001, gamma: 0.99, batch size: 50.

Episode: 0
./shells/epsilons.sh: line 3: 13861 Killed                  python3 -u experiments.py --epsilon 0.6
CREATING ENVIRONMENT
CREATING DQN
./shells/epsilons.sh: line 4: 13879 Killed                  python3 -u experiments.py --epsilon 0.8
