Start training
Train Epoch: 54 	Train_loss: 0.5668 	Train_acc: 30.88
	Val_loss: 3.7959 	Val_acc: 1.87
Train Epoch: 55 	Train_loss: 0.5652 	Train_acc: 30.88
	Val_loss: 3.8123 	Val_acc: 1.83
Train Epoch: 56 	Train_loss: 0.5654 	Train_acc: 30.85
	Val_loss: 3.8574 	Val_acc: 1.76
Train Epoch: 57 	Train_loss: 0.5640 	Train_acc: 30.89
	Val_loss: 3.7844 	Val_acc: 1.87
Train Epoch: 58 	Train_loss: 0.5630 	Train_acc: 30.92
	Val_loss: 3.7791 	Val_acc: 1.87
Train Epoch: 59 	Train_loss: 0.5607 	Train_acc: 30.97
	Val_loss: 3.8156 	Val_acc: 1.87
Train Epoch: 60 	Train_loss: 0.5611 	Train_acc: 31.03
	Val_loss: 3.8884 	Val_acc: 1.86
Train Epoch: 61 	Train_loss: 0.5608 	Train_acc: 31.11
	Val_loss: 3.8035 	Val_acc: 1.87
Train Epoch: 62 	Train_loss: 0.5575 	Train_acc: 31.19
	Val_loss: 3.8142 	Val_acc: 1.87
Train Epoch: 63 	Train_loss: 0.5566 	Train_acc: 31.12
	Val_loss: 3.7154 	Val_acc: 1.93
Train Epoch: 64 	Train_loss: 0.5552 	Train_acc: 31.17
	Val_loss: 3.8162 	Val_acc: 1.88
Train Epoch: 65 	Train_loss: 0.5550 	Train_acc: 31.13
	Val_loss: 3.7894 	Val_acc: 1.87
Train Epoch: 66 	Train_loss: 0.5540 	Train_acc: 31.29
	Val_loss: 3.8045 	Val_acc: 1.86
Train Epoch: 67 	Train_loss: 0.5545 	Train_acc: 31.15
	Val_loss: 3.7696 	Val_acc: 1.92
Train Epoch: 68 	Train_loss: 0.5500 	Train_acc: 31.34
	Val_loss: 3.7381 	Val_acc: 1.89
Train Epoch: 69 	Train_loss: 0.5502 	Train_acc: 31.28
	Val_loss: 3.7954 	Val_acc: 1.87
Train Epoch: 70 	Train_loss: 0.5485 	Train_acc: 31.42
	Val_loss: 3.7912 	Val_acc: 1.92
Train Epoch: 71 	Train_loss: 0.5511 	Train_acc: 31.30
	Val_loss: 3.7569 	Val_acc: 1.88
Train Epoch: 72 	Train_loss: 0.5486 	Train_acc: 31.28
	Val_loss: 3.7584 	Val_acc: 1.89
Train Epoch: 73 	Train_loss: 0.5483 	Train_acc: 31.30
	Val_loss: 3.7577 	Val_acc: 1.93
Train Epoch: 74 	Train_loss: 0.5467 	Train_acc: 31.38
	Val_loss: 3.7967 	Val_acc: 1.94
Train Epoch: 75 	Train_loss: 0.5459 	Train_acc: 31.43
	Val_loss: 3.7636 	Val_acc: 1.94
Train Epoch: 76 	Train_loss: 0.5461 	Train_acc: 31.43
	Val_loss: 3.8018 	Val_acc: 1.90
Train Epoch: 77 	Train_loss: 0.5444 	Train_acc: 31.53
	Val_loss: 3.8092 	Val_acc: 1.89
Train Epoch: 78 	Train_loss: 0.5416 	Train_acc: 31.51
	Val_loss: 3.7205 	Val_acc: 1.94
Train Epoch: 79 	Train_loss: 0.5440 	Train_acc: 31.42
	Val_loss: 3.7642 	Val_acc: 2.00
Train Epoch: 80 	Train_loss: 0.5416 	Train_acc: 31.54
	Val_loss: 3.6906 	Val_acc: 1.98
Train Epoch: 81 	Train_loss: 0.5411 	Train_acc: 31.59
	Val_loss: 3.7693 	Val_acc: 1.93
Train Epoch: 82 	Train_loss: 0.5422 	Train_acc: 31.50
	Val_loss: 3.7571 	Val_acc: 1.92
Train Epoch: 83 	Train_loss: 0.5412 	Train_acc: 31.60
	Val_loss: 3.7419 	Val_acc: 1.94
Train Epoch: 84 	Train_loss: 0.5406 	Train_acc: 31.47
	Val_loss: 3.7920 	Val_acc: 1.93
Train Epoch: 85 	Train_loss: 0.5415 	Train_acc: 31.54
	Val_loss: 3.7560 	Val_acc: 1.93
Train Epoch: 86 	Train_loss: 0.5397 	Train_acc: 31.56
	Val_loss: 3.7686 	Val_acc: 1.93
Train Epoch: 87 	Train_loss: 0.5360 	Train_acc: 31.66
	Val_loss: 3.6974 	Val_acc: 1.98
Train Epoch: 88 	Train_loss: 0.5380 	Train_acc: 31.61
	Val_loss: 3.7561 	Val_acc: 1.93
Train Epoch: 89 	Train_loss: 0.5369 	Train_acc: 31.67
	Val_loss: 3.8039 	Val_acc: 1.94
Train Epoch: 90 	Train_loss: 0.5373 	Train_acc: 31.63
	Val_loss: 3.6859 	Val_acc: 1.97
Train Epoch: 91 	Train_loss: 0.5339 	Train_acc: 31.78
	Val_loss: 3.7045 	Val_acc: 1.98
Train Epoch: 92 	Train_loss: 0.5335 	Train_acc: 31.64
	Val_loss: 3.7400 	Val_acc: 1.97
Train Epoch: 93 	Train_loss: 0.5331 	Train_acc: 31.82
	Val_loss: 3.7673 	Val_acc: 1.97
Train Epoch: 94 	Train_loss: 0.5306 	Train_acc: 31.84
	Val_loss: 3.8115 	Val_acc: 1.90
Train Epoch: 95 	Train_loss: 0.5326 	Train_acc: 31.74
	Val_loss: 3.7299 	Val_acc: 1.98
Train Epoch: 96 	Train_loss: 0.5338 	Train_acc: 31.73
	Val_loss: 3.7677 	Val_acc: 1.94
Train Epoch: 97 	Train_loss: 0.5340 	Train_acc: 31.77
	Val_loss: 3.7147 	Val_acc: 1.96
Train Epoch: 98 	Train_loss: 0.5303 	Train_acc: 31.82
	Val_loss: 3.7576 	Val_acc: 1.90
Train Epoch: 99 	Train_loss: 0.5323 	Train_acc: 31.79
	Val_loss: 3.7679 	Val_acc: 1.99
Train Epoch: 100 	Train_loss: 0.5289 	Train_acc: 31.85
	Val_loss: 3.7062 	Val_acc: 1.98
Train Epoch: 101 	Train_loss: 0.5289 	Train_acc: 31.85
	Val_loss: 3.7574 	Val_acc: 1.95
