day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,1,0.001,0.98,50,57,150,21,49,2,14,10,51,1,2,8,19,0,1,2,24,0,3,21,49,2,14,10,51,1,2,-1005,0.0,19,5,0,24,0,0,0
1,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,1,0.001,0.98,50,34,0,0,0,0,0,0,0,0,0,0,9,0,0,9,16,0,0,17,38,0,9,4,44,0,0,-888,0.0,16,8,0,24,0,0,0
2,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,1,0.001,0.98,50,126,56,13,15,2,1,1,23,0,1,12,33,0,13,4,59,0,5,27,51,2,3,1,65,0,1,-3861,0.0,77,1,0,78,0,0,0
3,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,1,0.001,0.98,50,82,0,0,0,0,0,0,0,0,0,4,33,0,6,4,33,0,2,14,38,0,0,0,49,0,0,-2822,0.0,56,2,0,58,0,0,0
4,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,1,0.001,0.98,50,65,75,9,26,1,6,4,28,1,0,5,22,0,1,6,29,0,2,12,59,1,6,4,67,1,0,-3146,0.0,31,4,1552,35,0,0,0
5,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,1,0.001,0.98,50,27,0,0,0,0,0,0,0,0,0,3,3,0,2,6,13,0,0,6,41,0,0,0,51,0,0,-872,0.0,17,2,0,19,0,0,0
6,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,1,0.001,0.98,50,35,62,8,22,1,3,8,19,1,0,6,10,0,4,2,13,0,0,12,60,1,3,8,65,1,0,-2036,0.0,21,0,986,21,0,0,0
7,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,1,0.001,0.98,50,63,0,0,0,0,0,0,0,0,0,5,24,1,3,3,23,0,4,10,48,0,2,4,47,0,0,-1522,0.0,30,2,0,32,0,0,0
8,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,1,0.001,0.98,50,75,72,14,25,1,4,8,19,0,1,1,24,4,4,9,31,0,2,16,63,1,4,8,57,0,1,-4143,0.0,40,2,2121,42,0,0,0
9,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,1,0.001,0.98,50,87,3,2,0,0,1,0,0,0,0,4,35,1,4,6,33,0,4,11,47,0,1,0,38,0,0,-3022,0.0,60,2,0,62,0,0,0
10,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,1,0.001,0.98,50,104,79,9,31,0,8,7,23,0,1,12,45,2,10,6,27,0,2,10,70,0,8,7,53,0,1,-3409,0.0,49,5,904,54,0,0,0
11,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,1,0.001,0.98,50,65,2,0,0,0,0,1,1,0,0,6,23,2,7,2,21,0,4,0,52,0,0,1,43,0,0,-2561,0.0,51,1,0,52,0,0,0
12,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,1,0.001,0.98,50,37,67,9,22,0,5,4,25,0,2,2,13,0,4,1,12,0,5,9,70,0,5,4,59,0,2,-1580,0.0,15,1,819,16,0,0,0
13,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,1,0.001,0.98,50,26,0,0,0,0,0,0,0,0,0,0,17,0,1,0,8,0,0,7,53,0,0,0,49,0,0,-600,0.0,12,0,0,12,0,0,0
14,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,1,0.001,0.98,50,69,55,8,21,2,5,2,17,0,0,6,15,0,3,10,35,0,0,9,69,2,5,2,63,0,0,-4541,0.0,37,4,2647,41,0,0,0
15,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,912,70,0,1,0.01,1,0.001,0.98,50,43,26,4,12,0,0,1,9,0,0,1,23,1,3,1,14,0,0,4,55,0,0,1,52,0,0,-1410,0.0,28,0,10,28,0,0,0
