day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon anneal,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.8,0.001,0.98,50,59,150,22,50,2,5,15,54,0,2,1,25,0,6,5,22,0,0,22,50,2,5,15,54,0,2,-1383,0.0,27,3,0,30,0,0,0
1,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.8,0.001,0.98,50,45,0,0,0,0,0,0,0,0,0,2,16,0,4,6,17,0,0,20,38,0,0,11,49,0,0,-1350,0.0,27,0,0,27,0,0,0
2,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.8,0.001,0.98,50,68,50,9,20,0,4,4,13,0,0,8,23,0,1,6,29,1,0,25,53,0,4,10,58,0,0,-1711,0.0,34,1,0,35,0,0,0
3,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.8,0.001,0.98,50,61,0,0,0,0,0,0,0,0,0,3,19,0,5,5,26,0,3,18,47,0,2,3,46,0,0,-1933,0.0,38,3,0,41,0,0,0
4,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.8,0.001,0.98,50,65,57,8,24,0,7,5,12,0,1,2,26,0,7,2,22,0,6,18,67,0,7,5,52,0,1,-4314,0.0,31,3,2731,34,0,0,0
5,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.8,0.001,0.98,50,21,19,3,6,0,0,2,8,0,0,0,4,1,4,4,8,0,0,11,50,0,4,3,33,0,0,-622,0.0,12,2,0,14,0,0,0
6,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.8,0.001,0.98,50,33,39,4,9,0,2,2,20,1,1,0,10,0,4,3,16,0,0,12,57,0,4,4,52,1,1,-1533,0.0,13,3,850,16,0,0,0
7,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.8,0.001,0.98,50,57,29,6,8,2,3,1,8,0,1,4,24,0,4,0,23,2,0,15,47,2,3,1,48,0,1,-1550,0.0,31,0,0,31,0,0,0
8,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.8,0.001,0.98,50,114,37,5,16,0,4,2,9,0,1,13,50,1,8,11,29,2,0,12,57,0,4,2,52,0,1,-4691,0.0,71,2,1119,73,0,0,0
9,True,reg_11,request_scratch,cau100_afr0_asi0_11,regional_11,50,150,912,70,0,1,0.01,0.8,0.001,0.98,50,103,36,6,15,0,1,0,13,0,1,16,35,1,7,2,28,2,12,10,54,0,1,0,55,0,1,-3579,0.0,67,1,218,68,0,0,0
