day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.6,0.001,0.99,50,34,150,27,48,6,1,16,49,1,2,5,7,0,8,2,12,0,0,27,48,6,1,16,49,1,2,-183,0.0,3,3,0,6,0,0,0
1,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.6,0.001,0.99,50,73,0,0,0,0,0,0,0,0,0,7,28,2,8,0,24,0,4,6,47,2,0,16,48,0,0,-2300,0.0,46,0,0,46,0,0,0
2,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.6,0.001,0.99,50,149,58,10,25,1,3,1,17,1,0,18,49,0,14,14,46,0,8,10,65,1,3,13,57,1,0,-4983,0.0,99,3,0,102,0,0,0
3,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.6,0.001,0.99,50,71,8,1,1,0,0,2,4,0,0,6,22,4,6,5,27,0,1,1,57,0,0,2,48,0,0,-2972,0.0,59,2,0,61,0,0,0
4,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.6,0.001,0.99,50,24,49,6,20,0,4,3,16,0,0,0,10,0,3,0,11,0,0,6,75,0,4,3,57,0,0,-1675,0.0,11,0,1125,11,0,0,0
5,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.6,0.001,0.99,50,13,23,7,11,0,2,0,3,0,0,0,2,0,5,0,6,0,0,7,57,0,5,1,40,0,0,-161,0.0,3,1,0,4,0,0,0
6,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.6,0.001,0.99,50,28,34,6,12,0,1,1,14,0,0,1,16,1,2,5,3,0,0,6,68,0,5,1,54,0,0,-1759,0.0,13,3,1076,16,0,0,0
7,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.6,0.001,0.99,50,63,40,6,16,2,1,3,12,0,0,4,27,0,8,6,18,0,0,6,60,2,3,3,49,0,0,-2231,0.0,42,1,120,43,0,0,0
8,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.6,0.001,0.99,50,60,20,5,6,0,1,3,5,0,0,2,16,1,3,4,33,0,1,5,65,0,1,3,48,0,0,-4145,0.0,45,1,1884,46,0,0,0
9,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.6,0.001,0.99,50,86,60,10,22,0,3,3,22,0,0,11,39,0,2,7,22,2,3,10,67,0,3,3,56,0,0,-3699,0.0,58,1,788,59,0,0,0
10,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.6,0.001,0.99,50,76,0,0,0,0,0,0,0,0,0,0,38,2,2,11,23,0,0,0,56,0,0,0,51,0,0,-4962,0.0,68,1,1551,69,0,0,0
11,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.6,0.001,0.99,50,74,67,12,21,1,3,3,25,2,0,3,27,0,5,10,25,2,2,12,65,1,3,3,64,2,0,-3948,0.0,45,2,1676,47,0,0,0
12,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.6,0.001,0.99,50,43,3,0,1,0,0,0,2,0,0,3,16,0,1,0,20,3,0,0,50,0,0,0,54,0,0,-2340,0.0,39,0,390,39,0,0,0
