day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied A-,num supplied A+,num supplied B-,num supplied B+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests A-,num requests A+,num requests B-,num requests B+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,reward,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D,num mismatches C,num mismatches c,num mismatches E
0,True,reg_8,request_scratch,cau100_afr0_asi0_8,regional_8,50,150,365,70,0,0.995,0.01,1.0,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60.0,1,0,0.0,1,0,0,0,0,0,0
1,True,reg_8,request_scratch,cau100_afr0_asi0_8,regional_8,50,150,365,70,0,0.995,0.01,0.995,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2,True,reg_8,request_scratch,cau100_afr0_asi0_8,regional_8,50,150,365,70,0,0.995,0.01,0.990025,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-300.0,5,0,0.0,5,0,0,0,0,0,0
3,True,reg_8,request_scratch,cau100_afr0_asi0_8,regional_8,50,150,365,70,0,0.995,0.01,0.985074875,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1140.31,19,0,0.0,19,0,0,0,0,1,1
4,True,reg_8,request_scratch,cau100_afr0_asi0_8,regional_8,50,150,365,70,0,0.995,0.01,0.9801495006250001,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-900.0345,15,0,0.0,15,0,0,0,1,0,0
5,True,reg_8,request_scratch,cau100_afr0_asi0_8,regional_8,50,150,365,70,0,0.995,0.01,0.9752487531218751,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2160.584,36,0,0.0,36,0,0,0,1,1,2
6,True,reg_8,request_scratch,cau100_afr0_asi0_8,regional_8,50,150,365,70,0,0.995,0.01,0.9703725093562657,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1620.2740000000001,27,0,0.0,27,0,0,0,1,0,1
7,True,reg_8,request_scratch,cau100_afr0_asi0_8,regional_8,50,150,365,70,0,0.995,0.01,0.9655206468094844,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2760.584,46,0,0.0,46,0,0,0,1,1,2
8,True,reg_8,request_scratch,cau100_afr0_asi0_8,regional_8,50,150,365,70,0,0.995,0.01,0.960693043575437,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-900.3789999999999,15,0,0.0,15,0,0,0,2,1,1
9,True,reg_8,request_scratch,cau100_afr0_asi0_8,regional_8,50,150,365,70,0,0.995,0.01,0.9558895783575597,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1440.5495,24,0,0.0,24,0,0,0,0,1,2
