day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied A-,num supplied A+,num supplied B-,num supplied B+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests A-,num requests A+,num requests B-,num requests B+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num A- in inventory,num A+ in inventory,num B- in inventory,num B+ in inventory,num AB- in inventory,num AB+ in inventory,reward,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D,num mismatches C,num mismatches c,num mismatches E
0,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,1.0,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
1,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.995,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60.0,1,0,0.0,1,0,0,0,0,0,0
2,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.990025,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-240.31,4,0,0.0,4,0,0,0,0,1,1
3,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.985074875,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1140.0345,19,0,0.0,19,0,0,0,1,0,0
4,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.9801495006250001,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1140.0,19,0,0.0,19,0,0,0,0,0,0
5,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.9752487531218751,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1740.479,29,0,0.0,29,0,0,0,0,0,2
6,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.9703725093562657,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1380.6545,23,0,0.0,23,0,0,0,1,2,2
7,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.9655206468094844,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3480.5495,58,0,0.0,58,0,0,0,0,1,2
8,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.960693043575437,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-600.0705,10,0,0.0,10,0,0,0,0,1,0
9,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.9558895783575597,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2220.0,37,0,0.0,37,0,0,0,0,0,0
10,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.9511101304657719,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-960.0,16,0,0.0,16,0,0,0,0,0,0
11,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.946354579813443,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1860.31,31,0,0.0,31,0,0,0,0,1,1
12,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.9416228069143757,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1020.2395,17,0,0.0,17,0,0,0,0,0,1
13,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.9369146928798039,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2100.2395,35,0,0.0,35,0,0,0,0,0,1
14,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.9322301194154049,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1140.105,19,0,0.0,19,0,0,0,1,1,0
15,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.9275689688183278,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2520.31,42,0,0.0,42,0,0,0,0,1,1
16,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.9229311239742362,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-900.62,15,0,0.0,15,0,0,0,0,2,2
17,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.918316468354365,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1800.105,30,0,0.0,30,0,0,0,1,1,0
18,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.9137248860125932,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1380.0,23,0,0.0,23,0,0,0,0,0,0
19,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.9091562615825302,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2040.2395000000001,34,0,0.0,34,0,0,0,0,0,1
20,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.9046104802746175,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1920.2740000000001,32,0,0.0,32,0,0,0,1,0,1
21,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.9000874278732445,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2100.0,35,0,0.0,35,0,0,0,0,0,0
22,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.8955869907338783,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1980.0,33,0,0.0,33,0,0,0,0,0,0
23,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.8911090557802088,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1920.2395000000001,32,0,0.0,32,0,0,0,0,0,1
24,True,reg_9,request_scratch,cau100_afr0_asi0_9,regional_9,50,150,365,70,0,0.995,0.01,0.8866535105013078,0.1,0.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1740.0,29,0,0.0,29,0,0,0,0,0,0
