day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,22,56,2,7,6,53,1,3,0,0,0,0,0,0,0,0
1,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,16,2,0,0,1,0,0,1,0,0,4,5,0,0,2,5,0,0,22,55,3,7,6,54,1,2,89,0,1,0,1,0,0,0
2,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,41,9,3,5,0,0,0,1,0,0,0,7,0,5,10,12,0,7,25,60,2,0,5,54,0,2,550,5,0,0,5,0,0,0
3,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,74,6,0,4,0,0,0,2,0,0,5,25,4,6,10,21,0,3,22,63,0,0,1,54,0,1,617,28,3,0,31,0,0,0
4,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,48,18,2,6,0,2,2,5,0,1,0,21,0,0,6,19,0,2,20,63,0,2,2,56,0,1,739,59,1,0,60,0,0,0
5,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,144,1,0,1,0,0,0,0,0,0,7,42,2,15,18,58,0,2,18,63,0,0,0,56,0,0,389,40,1,0,41,0,0,0
6,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,111,32,2,6,2,0,2,19,1,0,2,34,0,4,8,56,0,7,12,63,2,0,2,69,1,0,989,124,1,0,125,0,0,0
7,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,67,0,0,0,0,0,0,0,0,0,4,26,0,4,4,29,0,0,4,59,0,0,0,65,0,0,1050,90,0,0,90,0,0,0
8,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,44,29,9,11,0,0,5,4,0,0,6,12,0,6,4,14,2,0,10,68,0,0,5,67,0,0,350,60,0,0,60,0,0,0
9,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,74,0,0,0,0,0,0,0,0,0,8,36,0,1,3,19,2,5,9,66,0,0,5,66,0,0,200,40,0,0,40,0,0,0
10,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,32,16,3,3,0,1,1,7,0,1,9,8,3,2,1,7,0,2,8,65,0,1,5,70,0,1,600,62,0,0,62,0,0,0
11,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,83,0,0,0,0,0,0,0,0,0,10,28,0,6,6,28,2,3,6,63,0,0,4,70,0,0,350,25,0,0,25,0,0,0
12,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,46,23,6,7,0,1,1,8,0,0,4,21,2,7,3,9,0,0,7,66,0,1,2,74,0,0,778,67,2,0,69,0,0,0
13,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,66,0,0,0,0,0,0,0,0,0,0,30,0,5,9,19,0,3,7,64,0,0,0,72,0,0,350,39,0,0,39,0,0,0
14,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,52,13,3,6,0,0,1,3,0,0,5,21,1,4,5,14,0,2,8,69,0,0,1,72,0,0,289,60,1,0,61,0,0,0
15,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,57,0,0,0,0,0,0,0,0,0,5,12,2,0,3,33,0,2,6,67,0,0,1,68,0,0,400,44,0,0,44,0,0,0
16,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,53,16,3,3,1,1,3,4,0,1,3,16,1,4,1,25,0,3,6,68,1,1,3,70,0,1,389,49,1,0,50,0,0,0
17,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,41,0,0,0,0,0,0,0,0,0,2,27,0,0,5,7,0,0,6,65,0,0,3,67,0,0,439,44,1,0,45,0,0,0
18,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,48,15,3,4,0,1,0,7,0,0,0,22,0,2,4,17,0,3,8,67,0,1,1,73,0,0,300,35,0,0,35,0,0,0
19,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,61,0,0,0,0,0,0,0,0,0,4,26,0,4,3,20,0,4,5,67,0,0,0,70,0,0,389,40,1,0,41,0,0,0
20,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,49,11,3,3,0,2,0,3,0,0,5,17,0,1,5,17,0,4,7,68,0,2,0,73,0,0,150,58,0,0,58,0,0,0
21,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,71,1,0,0,0,0,0,1,0,0,0,17,5,4,7,36,0,2,3,65,0,0,0,73,0,0,489,39,1,0,40,0,0,0
22,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,41,17,6,5,0,0,1,4,0,1,4,14,0,5,2,16,0,0,7,69,0,0,1,71,0,1,428,62,2,0,64,0,0,0
23,True,reg_51,request_scratch,cau100_afr0_asi0_51,regional_51,50,150,1825,70,0,0.98,0.01,0.35688628648537435,0.001,0.5,50,46,0,0,0,0,0,0,0,0,0,2,17,0,4,4,15,2,2,5,68,0,0,1,71,0,0,200,37,0,0,37,0,0,0
