day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon anneal,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,53,150,19,53,2,13,13,50,0,0,3,14,2,4,2,26,2,0,19,53,2,13,13,50,0,0,-66,0.0,0,6,0,6,0,0,0
1,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,33,0,0,0,0,0,0,0,0,0,4,15,0,0,1,11,2,0,16,52,1,11,12,5,0,0,-1261,0.0,25,1,0,26,0,0,0
2,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,95,61,12,25,0,0,1,23,0,0,8,39,2,6,2,27,0,11,28,77,1,10,11,23,0,0,-3311,0.0,66,1,0,67,0,0,0
3,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,32,0,0,0,0,0,0,0,0,0,0,9,3,0,1,14,0,5,26,77,0,9,9,0,0,0,-1211,0.0,24,1,0,25,0,0,0
4,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,38,37,5,18,0,4,1,9,0,0,4,17,1,3,2,6,0,5,28,94,0,9,10,9,0,0,-4048,0.0,25,2,2776,27,0,0,0
5,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,32,56,10,22,1,2,6,15,0,0,3,8,0,1,1,14,0,5,27,65,1,6,8,15,0,0,-511,0.0,10,1,0,11,0,0,0
6,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,49,10,2,2,1,0,1,4,0,0,5,20,0,0,2,18,0,4,28,65,1,4,8,4,0,0,-3516,0.0,38,0,1616,38,0,0,0
7,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,38,78,11,34,0,5,5,22,1,0,0,18,0,2,2,10,2,4,28,76,0,8,10,22,1,0,-761,0.0,15,1,0,16,0,0,0
8,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,43,0,0,0,0,0,0,0,0,0,0,16,0,9,6,12,0,0,28,76,0,8,9,0,1,0,-2832,0.0,37,1,971,38,0,0,0
9,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,52,56,8,23,2,4,5,13,0,1,2,19,2,14,2,11,0,2,31,81,2,9,13,13,0,1,-3323,0.0,33,1,1662,34,0,0,0
10,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,70,8,1,3,0,2,0,2,0,0,1,27,2,8,0,26,0,6,22,62,0,11,11,2,0,1,-3332,0.0,62,1,221,63,0,0,0
11,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,33,45,8,16,1,4,3,13,0,0,1,14,1,6,0,11,0,0,28,74,1,15,13,13,0,0,-2404,0.0,15,0,1654,15,0,0,0
12,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,33,40,7,14,0,3,1,14,0,1,2,13,0,2,2,11,0,3,24,56,1,13,9,14,0,1,-722,0.0,14,2,0,16,0,0,0
13,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,45,26,2,12,2,1,6,3,0,0,8,12,0,4,0,21,0,0,24,67,2,14,15,3,0,0,-3342,0.0,36,1,1531,37,0,0,0
14,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,37,44,6,19,1,1,2,14,1,0,0,16,4,1,6,10,0,0,24,64,2,11,12,14,1,0,-1165,0.0,19,2,193,21,0,0,0
15,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,65,17,2,2,1,0,1,11,0,0,3,26,2,2,4,27,0,1,25,63,1,9,13,11,0,0,-4098,0.0,45,2,1826,47,0,0,0
16,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,82,66,10,23,1,6,3,22,1,0,8,30,1,9,6,28,0,0,27,70,1,11,13,22,1,0,-3757,0.0,46,2,1435,48,0,0,0
17,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,75,11,0,7,0,1,0,3,0,0,6,20,4,3,1,33,6,2,20,63,0,9,11,3,1,0,-4222,0.0,62,0,1122,62,0,0,0
18,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,40,59,10,19,1,3,5,21,0,0,3,9,0,2,4,22,0,0,28,70,1,11,11,21,0,0,-1753,0.0,13,5,1048,18,0,0,0
19,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,37,21,4,10,0,0,1,6,0,0,3,10,5,7,2,8,0,2,26,61,1,8,10,6,0,0,-1527,0.0,28,0,127,28,0,0,0
20,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,20,35,6,11,1,2,3,11,0,1,1,11,2,0,2,4,0,0,30,70,1,10,12,11,0,1,-1150,0.0,7,1,789,8,0,0,0
21,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,30,42,5,10,0,3,5,19,0,0,0,14,0,0,2,14,0,0,25,57,1,9,14,19,0,1,-650,0.0,8,3,217,11,0,0,0
22,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,53,29,5,15,0,3,2,4,0,0,8,12,1,2,3,20,0,7,29,65,1,11,16,4,0,1,-3660,0.0,39,3,1677,42,0,0,0
23,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,53,39,7,17,0,1,1,13,0,0,4,21,0,3,0,25,0,0,27,63,0,9,12,13,0,1,-2241,0.0,32,1,630,33,0,0,0
