day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon anneal,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,34,150,27,48,6,1,16,49,1,2,5,7,0,8,2,12,0,0,27,48,6,1,16,49,1,2,-1400,0.0,28,0,0,28,0,0,0
1,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,73,0,0,0,0,0,0,0,0,0,7,28,2,8,0,24,0,4,27,47,5,0,16,47,0,2,-3261,0.0,65,1,0,66,0,0,0
2,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,149,14,3,7,0,0,1,2,1,0,18,49,0,14,14,46,0,8,30,54,2,0,15,48,1,0,-6611,0.0,132,1,0,133,0,0,0
3,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,71,4,1,2,0,1,0,0,0,0,6,22,4,6,5,27,0,1,27,53,0,1,12,44,0,0,-2922,0.0,58,2,0,60,0,0,0
4,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,24,23,1,11,0,1,0,10,0,0,0,10,0,3,0,11,0,0,26,59,0,1,10,51,0,0,-3687,0.0,22,0,2587,22,0,0,0
5,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,13,90,17,32,1,7,5,28,0,0,0,2,0,5,0,6,0,0,22,52,1,7,6,40,0,0,-311,0.0,6,1,0,7,0,0,0
6,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,28,0,0,0,0,0,0,0,0,0,1,16,1,2,5,3,0,0,22,52,1,0,6,40,0,0,-1562,0.0,25,0,312,25,0,0,0
7,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,63,42,8,17,0,1,1,15,0,0,4,27,0,8,6,18,0,0,27,62,1,1,6,53,0,0,-2885,0.0,55,0,135,55,0,0,0
8,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,60,0,0,0,0,0,0,0,0,0,2,16,1,3,4,33,0,1,25,60,0,0,5,52,0,0,-3388,0.0,47,2,1016,49,0,0,0
9,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,86,34,4,16,2,1,2,9,0,0,11,39,0,2,7,22,2,3,27,65,2,1,3,52,0,0,-9978,0.0,76,1,6167,77,0,0,0
10,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,76,48,11,12,0,3,5,17,0,0,0,38,2,2,11,23,0,0,23,45,1,3,6,41,0,0,-3222,0.0,64,2,0,66,0,0,0
11,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,74,0,0,0,0,0,0,0,0,0,3,27,0,5,10,25,2,2,22,41,0,0,5,39,0,0,-5503,0.0,66,1,2192,67,0,0,0
12,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,43,78,14,28,1,4,4,25,2,0,3,16,0,1,0,20,3,0,29,56,1,4,7,51,2,0,-1772,0.0,35,2,0,37,0,0,0
13,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,18,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,29,56,1,0,7,49,0,0,-1333,0.0,17,0,483,17,0,0,0
14,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,55,35,4,13,0,0,1,17,0,0,3,26,2,5,3,16,0,0,29,53,1,0,8,59,0,0,-4515,0.0,47,0,2165,47,0,0,0
15,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,60,9,0,4,0,1,1,2,0,1,7,29,0,3,0,19,0,2,18,45,0,1,6,44,0,1,-2650,0.0,53,0,0,53,0,0,0
16,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,75,35,4,6,0,3,1,18,0,3,5,17,1,6,8,31,3,4,19,51,0,3,7,60,0,3,-7802,0.0,62,4,4658,66,0,0,0
17,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,86,50,6,19,1,2,6,14,1,1,9,21,1,8,7,34,2,4,14,42,1,2,9,51,1,1,-3572,0.0,71,2,0,73,0,0,0
18,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,79,0,0,0,0,0,0,0,0,0,0,25,0,8,5,38,0,3,10,39,0,0,8,48,1,0,-5394,0.0,71,1,1833,72,0,0,0
19,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,52,73,8,31,0,6,4,22,2,0,6,19,2,0,3,20,0,2,16,60,0,6,10,56,2,0,-2323,0.0,40,1,312,41,0,0,0
20,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,35,0,0,0,0,0,0,0,0,0,0,15,2,6,4,6,0,2,14,56,0,0,8,54,0,0,-2439,0.0,32,1,828,33,0,0,0
21,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,72,44,10,14,1,4,5,9,0,1,10,23,0,6,3,25,0,5,22,64,1,4,13,45,0,1,-5821,0.0,61,0,2771,61,0,0,0
22,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,65,9,0,5,0,0,0,4,0,0,2,28,2,4,10,16,3,0,18,50,0,0,9,35,0,0,-3111,0.0,62,1,0,63,0,0,0
23,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,44,32,6,8,0,3,4,10,1,0,0,19,0,8,2,15,0,0,24,56,0,3,13,44,1,0,-4366,0.0,35,0,2616,35,0,0,0
24,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,53,45,7,14,2,2,9,11,0,0,3,14,0,4,0,29,1,2,23,41,2,2,18,34,1,0,-2111,0.0,42,1,0,43,0,0,0
25,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,31,0,0,0,0,0,0,0,0,0,0,11,0,2,0,17,0,1,21,41,0,0,17,31,0,0,-2186,0.0,26,0,886,26,0,0,0
26,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,35,72,19,19,3,4,9,18,0,0,5,7,1,6,2,14,0,0,32,46,3,4,22,43,0,0,-1468,0.0,24,0,268,24,0,0,0
27,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,18,0,0,0,0,0,0,0,0,0,0,9,0,5,1,3,0,0,29,41,3,0,21,39,0,0,-1166,0.0,15,0,416,15,0,0,0
28,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,51,42,5,21,2,2,3,8,0,1,1,20,0,2,4,22,0,2,31,54,4,2,21,37,0,1,-4238,0.0,44,1,2027,45,0,0,0
29,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,76,6,1,3,0,1,0,1,0,0,15,22,0,6,6,25,0,2,25,43,3,1,12,27,0,0,-3461,0.0,69,1,0,70,0,0,0
30,True,reg_10,request_scratch,cau100_afr0_asi0_10,regional_10,50,150,912,70,0,1,0.01,0.2,0.001,0.98,50,71,41,5,17,1,3,3,10,1,1,7,22,2,3,5,28,0,4,30,58,3,3,14,35,1,1,-6595,0.0,52,3,3962,55,0,0,0
