day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon anneal,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_8,request_scratch,cau100_afr0_asi0_8,regional_8,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,125,150,28,58,4,5,15,37,0,3,11,45,5,1,9,51,0,3,28,58,4,5,15,37,0,3,-4372,0.0,87,2,0,89,0,0,0
1,True,reg_8,request_scratch,cau100_afr0_asi0_8,regional_8,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,48,0,0,0,0,0,0,0,0,0,6,13,0,3,5,16,0,5,21,49,1,0,8,33,0,0,-1900,0.0,38,0,0,38,0,0,0
2,True,reg_8,request_scratch,cau100_afr0_asi0_8,regional_8,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,83,48,6,18,1,6,1,15,0,1,2,28,0,11,5,30,3,4,26,63,1,6,8,45,0,1,-3061,0.0,61,1,0,62,0,0,0
3,True,reg_8,request_scratch,cau100_afr0_asi0_8,regional_8,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,63,0,0,0,0,0,0,0,0,0,7,16,0,3,2,30,4,1,24,57,0,0,4,43,0,0,-2900,0.0,58,0,0,58,0,0,0
4,True,reg_8,request_scratch,cau100_afr0_asi0_8,regional_8,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,23,27,6,12,0,1,4,4,0,0,2,5,0,4,6,6,0,0,29,65,0,1,8,47,0,0,-2840,0.0,19,0,1890,19,0,0,0
5,True,reg_8,request_scratch,cau100_afr0_asi0_8,regional_8,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,15,58,11,22,0,3,5,15,0,2,0,9,0,1,0,3,0,2,23,52,0,3,10,34,0,2,-450,0.0,9,0,0,9,0,0,0
6,True,reg_8,request_scratch,cau100_afr0_asi0_8,regional_8,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,27,0,0,0,0,0,0,0,0,0,1,18,0,0,2,5,0,1,22,52,0,0,8,34,0,2,-2164,0.0,23,0,1014,23,0,0,0
7,True,reg_8,request_scratch,cau100_afr0_asi0_8,regional_8,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,35,73,10,19,1,5,6,31,0,1,4,18,4,0,0,9,0,0,27,53,1,5,12,50,0,2,-711,0.0,14,1,0,15,0,0,0
8,True,reg_8,request_scratch,cau100_afr0_asi0_8,regional_8,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,31,0,0,0,0,0,0,0,0,0,6,8,0,4,0,10,0,3,25,51,0,0,5,48,0,0,-1370,0.0,20,0,370,20,0,0,0
9,True,reg_8,request_scratch,cau100_afr0_asi0_8,regional_8,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,42,40,5,12,2,1,4,15,0,1,1,25,2,4,0,7,0,3,26,53,2,1,6,61,0,1,-3343,0.0,30,0,1843,30,0,0,0
10,True,reg_8,request_scratch,cau100_afr0_asi0_8,regional_8,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,74,16,1,8,0,0,2,5,0,0,6,28,0,2,10,24,1,3,16,39,1,0,6,51,0,0,-2733,0.0,54,3,0,57,0,0,0
