day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,1,0.01,0.98,50,82,150,20,57,2,6,14,46,2,3,13,25,4,4,4,28,1,3,20,57,2,6,14,46,2,3,-1038,0.0,19,8,0,27,0,0,0
1,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,1,0.01,0.98,50,44,0,0,0,0,0,0,0,0,0,1,15,1,5,3,16,0,3,7,44,0,0,0,36,0,0,-1300,0.0,26,0,0,26,0,0,0
2,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,1,0.01,0.98,50,96,81,16,37,0,3,2,22,1,0,2,40,5,10,4,26,0,9,20,73,0,3,2,51,1,0,-2572,0.0,51,2,0,53,0,0,0
3,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,1,0.01,0.98,50,74,0,0,0,0,0,0,0,0,0,7,38,0,5,1,23,0,0,10,59,0,0,0,36,0,0,-2350,0.0,47,0,0,47,0,0,0
4,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,1,0.01,0.98,50,91,72,10,26,1,5,4,26,0,0,10,34,0,2,8,31,4,2,11,75,1,5,4,54,0,0,-2904,0.0,45,6,588,51,0,0,0
5,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,1,0.01,0.98,50,28,0,0,0,0,0,0,0,0,0,0,15,0,4,0,9,0,0,2,60,0,0,0,42,0,0,-800,0.0,16,0,0,16,0,0,0
6,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,1,0.01,0.98,50,19,58,14,15,0,2,4,20,0,3,0,12,0,0,3,4,0,0,14,72,0,2,4,55,0,3,-1070,0.0,7,2,698,9,0,0,0
7,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,1,0.01,0.98,50,42,0,0,0,0,0,0,0,0,0,1,15,0,2,0,20,1,3,12,41,0,1,4,46,0,0,-1150,0.0,23,0,0,23,0,0,0
8,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,1,0.01,0.98,50,45,65,7,27,1,8,3,18,0,1,1,24,0,1,1,18,0,0,14,66,1,8,3,57,0,1,-2410,0.0,16,3,1577,19,0,0,0
9,True,reg_15,request_scratch,cau100_afr0_asi0_15,regional_15,50,150,912,70,0,1,0.01,1,0.01,0.98,50,89,0,0,0,0,0,0,0,0,0,3,30,0,16,7,31,0,2,8,42,0,3,2,38,0,0,-2672,0.0,53,2,0,55,0,0,0
