day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,53,150,19,53,2,13,13,50,0,0,3,14,2,4,2,26,2,0,19,53,2,13,13,50,0,0,-2422,0.0,48,2,0,50,0,0,0
1,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,33,0,0,0,0,0,0,0,0,0,4,15,0,0,1,11,2,0,19,53,1,12,10,50,0,0,-1550,0.0,31,0,0,31,0,0,0
2,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,95,7,0,4,0,0,0,3,0,0,8,39,2,6,2,27,0,11,17,57,1,12,10,53,0,0,-4661,0.0,93,1,0,94,0,0,0
3,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,32,0,0,0,0,0,0,0,0,0,0,9,3,0,1,14,0,5,17,56,1,11,10,53,0,0,-1550,0.0,31,0,0,31,0,0,0
4,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,38,3,1,1,0,0,1,0,0,0,4,17,1,3,2,6,0,5,18,57,0,11,11,53,0,0,-7151,0.0,37,0,5301,37,0,0,0
5,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,32,137,26,56,1,6,6,42,0,0,3,8,0,1,1,14,0,5,27,61,1,6,7,45,0,0,-1600,0.0,32,0,0,32,0,0,0
6,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,49,0,0,0,0,0,0,0,0,0,5,20,0,0,2,18,0,4,27,61,1,6,7,45,0,0,-2600,0.0,46,1,289,47,0,0,0
7,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,38,11,1,4,1,0,2,3,0,0,0,18,0,2,2,10,2,4,28,61,1,6,9,45,0,0,-1811,0.0,36,1,0,37,0,0,0
8,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,43,0,0,0,0,0,0,0,0,0,0,16,0,9,6,12,0,0,28,61,0,5,9,45,0,0,-2196,0.0,42,0,96,42,0,0,0
9,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,52,5,1,2,0,0,0,2,0,0,2,19,2,14,2,11,0,2,28,62,0,5,8,47,0,0,-9450,0.0,49,2,6978,51,0,0,0
10,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,70,130,18,55,1,9,10,35,1,1,1,27,2,8,0,26,0,6,20,61,1,9,12,40,1,1,-3250,0.0,65,0,0,65,0,0,0
11,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,33,0,0,0,0,0,0,0,0,0,1,14,1,6,0,11,0,0,18,61,1,8,11,40,1,0,-1749,0.0,30,1,238,31,0,0,0
12,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,33,19,3,9,1,2,0,4,0,0,2,13,0,2,2,11,0,3,20,66,2,10,10,41,1,0,-1561,0.0,31,1,0,32,0,0,0
13,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,45,0,0,0,0,0,0,0,0,0,8,12,0,4,0,21,0,0,20,66,2,10,10,40,0,0,-2096,0.0,41,0,46,41,0,0,0
14,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,37,6,0,4,0,0,0,2,0,0,0,16,4,1,6,10,0,0,20,67,2,10,10,41,0,0,-6240,0.0,34,0,4540,34,0,0,0
15,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,65,119,18,42,4,8,10,36,0,1,3,26,2,2,4,27,0,1,21,55,5,10,10,42,0,1,-3111,0.0,62,1,0,63,0,0,0
16,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,82,0,0,0,0,0,0,0,0,0,8,30,1,9,6,28,0,0,21,55,5,9,9,42,0,0,-4739,0.0,73,0,1089,73,0,0,0
17,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,75,28,4,11,1,1,2,8,1,0,6,20,4,3,1,33,6,2,22,57,5,9,10,46,1,0,-3583,0.0,71,3,0,74,0,0,0
18,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,40,0,0,0,0,0,0,0,0,0,3,9,0,2,4,22,0,0,22,57,5,6,10,46,0,0,-1976,0.0,35,1,215,36,0,0,0
19,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,37,14,2,3,0,0,1,8,0,0,3,10,5,7,2,8,0,2,23,56,4,5,10,52,0,0,-5636,0.0,33,1,3975,34,0,0,0
20,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,20,95,12,34,1,9,4,34,1,0,1,11,2,0,2,4,0,0,18,48,2,10,7,50,1,0,-950,0.0,19,0,0,19,0,0,0
21,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,30,0,0,0,0,0,0,0,0,0,0,14,0,0,2,14,0,0,18,48,2,10,7,49,1,0,-2054,0.0,26,2,732,28,0,0,0
22,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,53,43,8,15,1,1,5,13,0,0,8,12,1,2,3,20,0,7,22,52,2,9,10,55,0,0,-2511,0.0,50,1,0,51,0,0,0
23,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,53,0,0,0,0,0,0,0,0,0,4,21,0,3,0,25,0,0,21,51,1,9,10,55,0,0,-3213,0.0,52,0,613,52,0,0,0
24,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,62,15,4,6,0,0,0,5,0,0,0,25,2,12,4,12,0,7,24,55,1,9,9,52,0,0,-8574,0.0,59,1,5613,60,0,0,0
25,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,36,77,10,24,1,5,8,28,0,1,4,16,0,4,1,9,2,0,22,45,2,6,13,46,0,1,-1661,0.0,33,1,0,34,0,0,0
26,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,50,0,0,0,0,0,0,0,0,0,3,21,0,8,1,15,0,2,22,45,1,5,13,46,0,0,-4247,0.0,46,0,1947,46,0,0,0
27,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,46,59,11,26,0,3,3,16,0,0,0,20,2,4,7,11,0,2,25,56,1,8,11,49,0,0,-2100,0.0,42,0,0,42,0,0,0
28,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,53,0,0,0,0,0,0,0,0,0,6,15,0,4,2,24,0,2,24,55,0,7,11,49,0,0,-3087,0.0,49,0,637,49,0,0,0
29,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,44,18,2,10,0,1,0,5,0,0,0,25,0,0,6,13,0,0,23,60,0,8,10,49,0,0,-5187,0.0,41,1,3126,42,0,0,0
30,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,55,55,12,19,1,5,3,15,0,0,5,10,0,10,4,22,0,4,25,55,1,9,6,36,0,0,-2511,0.0,50,1,0,51,0,0,0
31,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,58,0,0,0,0,0,0,0,0,0,8,19,0,4,6,19,0,2,24,55,0,8,4,36,0,0,-5779,0.0,54,1,3068,55,0,0,0
32,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,61,78,11,24,1,9,4,28,0,1,5,10,2,7,8,27,2,0,25,53,1,15,7,48,0,1,-2811,0.0,56,1,0,57,0,0,0
33,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,13,0,0,0,0,0,0,0,0,0,0,2,0,2,0,9,0,0,23,53,0,15,7,47,0,0,-795,0.0,12,0,195,12,0,0,0
34,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,37,21,6,6,1,1,1,4,2,0,2,19,0,6,2,6,0,2,29,49,1,15,7,47,2,0,-3550,0.0,33,1,1889,34,0,0,0
35,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,58,36,4,17,0,1,0,14,0,0,4,22,0,2,5,20,5,0,21,47,0,11,5,46,1,0,-2850,0.0,57,0,0,57,0,0,0
36,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,43,0,0,0,0,0,0,0,0,0,1,18,0,2,2,17,2,1,21,47,0,11,5,45,1,0,-5123,0.0,39,1,3162,40,0,0,0
37,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,88,95,18,38,1,9,3,24,1,1,2,39,2,4,15,23,0,3,28,61,1,11,4,42,2,1,-4122,0.0,82,2,0,84,0,0,0
38,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,59,0,0,0,0,0,0,0,0,0,4,20,0,7,4,20,1,3,28,60,0,10,3,42,1,0,-3681,0.0,57,0,831,57,0,0,0
39,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,60,22,5,11,0,0,1,5,0,0,9,23,0,0,6,20,0,2,27,66,0,10,3,43,1,0,-4713,0.0,55,0,1963,55,0,0,0
40,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,23,15,1,5,0,2,0,7,0,0,0,11,0,2,4,6,0,0,24,54,0,10,3,36,1,0,-1100,0.0,22,0,0,22,0,0,0
41,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,42,8,1,2,0,1,0,4,0,0,0,11,0,0,3,26,0,2,24,56,0,11,3,40,1,0,-5681,0.0,39,1,3720,40,0,0,0
42,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,60,97,9,33,3,8,7,34,0,3,0,36,0,9,0,13,0,2,16,51,3,11,8,50,0,3,-2650,0.0,53,0,0,53,0,0,0
43,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,84,0,0,0,0,0,0,0,0,0,0,31,1,11,2,37,0,2,16,51,2,9,8,49,0,0,-5753,0.0,81,1,1692,82,0,0,0
44,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,91,38,10,12,0,1,2,13,0,0,7,27,1,1,9,39,3,4,21,52,1,9,9,58,0,0,-5694,0.0,90,1,1183,91,0,0,0
45,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,74,0,0,0,0,0,0,0,0,0,0,18,5,5,4,40,0,2,20,47,1,8,9,51,0,0,-4057,0.0,71,3,474,74,0,0,0
46,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,81,23,5,7,1,1,0,9,0,0,6,27,0,6,9,32,0,1,24,52,2,7,9,56,0,0,-10620,0.0,74,0,6920,74,0,0,0
47,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,24,66,12,23,1,6,4,19,0,1,1,11,0,1,0,11,0,0,27,42,2,8,6,41,0,1,-1150,0.0,23,0,0,23,0,0,0
48,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,37,0,0,0,0,0,0,0,0,0,12,3,0,2,2,15,0,3,27,42,2,8,6,41,0,0,-3256,0.0,37,0,1406,37,0,0,0
49,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,35,62,12,20,2,2,4,22,0,0,6,12,0,0,2,12,2,1,29,50,4,9,8,50,0,0,-1700,0.0,34,0,0,34,0,0,0
50,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,59,0,0,0,0,0,0,0,0,0,6,25,0,1,8,15,0,4,29,50,4,9,8,49,0,0,-4047,0.0,57,0,1197,57,0,0,0
51,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,48,23,3,9,0,2,2,7,0,0,0,26,0,2,0,20,0,0,27,52,3,10,10,48,0,0,-5237,0.0,44,0,3037,44,0,0,0
52,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,82,42,6,12,1,4,1,17,0,1,8,20,0,14,13,25,0,2,21,41,3,8,7,46,0,1,-3722,0.0,74,2,0,76,0,0,0
53,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,61,0,0,0,0,0,0,0,0,0,5,23,0,6,5,16,2,4,20,38,3,7,7,44,0,0,-5989,0.0,56,1,3178,57,0,0,0
54,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,32,87,12,32,1,2,3,37,0,0,2,13,0,3,0,14,0,0,21,53,2,7,6,61,0,0,-1450,0.0,29,0,0,29,0,0,0
55,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,14,0,0,0,0,0,0,0,0,0,0,3,0,6,0,5,0,0,20,52,1,7,6,61,0,0,-868,0.0,12,0,268,12,0,0,0
56,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,45,23,2,7,0,2,0,11,1,0,4,15,0,0,8,18,0,0,20,51,1,8,4,65,1,0,-3700,0.0,40,1,1689,41,0,0,0
57,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.071875,0.001,0.98,50,46,20,3,10,0,1,0,5,0,1,3,11,2,6,4,16,0,4,17,49,0,5,3,53,0,1,-2000,0.0,40,0,0,40,0,0,0
