day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,29,50,1,8,18,43,0,1,0,0,0,0,0,0,0,0
1,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,16,2,1,0,0,1,0,0,0,0,0,12,2,0,0,2,0,0,30,50,1,9,16,43,0,1,0,0,0,0,0,0,0,0
2,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,61,14,3,4,0,0,1,6,0,0,7,22,2,11,5,12,0,2,31,50,0,6,12,49,0,0,-22,0,2,0,2,0,0,0
3,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,83,25,2,8,0,4,2,8,0,1,10,34,2,8,4,21,0,4,27,54,0,4,2,49,0,1,-2555,25,5,0,30,0,0,0
4,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,178,27,5,5,0,3,1,11,0,2,14,50,4,19,17,70,0,4,25,49,0,3,1,52,0,2,-5133,51,3,0,54,0,0,0
5,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,63,63,6,25,2,4,4,22,0,0,3,32,1,8,3,16,0,0,12,54,2,4,4,53,0,0,-11244,112,4,0,116,0,0,0
6,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,118,0,0,0,0,0,0,0,0,0,15,31,0,6,8,54,0,4,6,47,0,0,0,49,0,0,-3611,36,1,0,37,0,0,0
7,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,40,78,12,27,3,5,2,25,0,4,2,16,0,9,0,12,0,1,12,60,3,5,2,64,0,4,-8800,88,0,0,88,0,0,0
8,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,74,0,0,0,0,0,0,0,0,0,6,29,0,0,4,32,0,3,8,52,0,2,0,58,0,2,-1200,12,0,0,12,0,0,0
9,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,34,56,10,19,1,5,9,11,0,1,4,7,2,1,1,18,0,1,10,61,1,5,9,63,0,1,-4611,46,1,0,47,0,0,0
10,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,77,0,0,0,0,0,0,0,0,0,11,21,1,4,4,33,3,0,9,57,0,1,0,59,0,0,-1033,10,3,0,13,0,0,0
11,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,28,48,9,12,1,3,3,19,1,0,0,11,2,0,3,12,0,0,9,61,1,3,3,72,1,0,-5311,53,1,0,54,0,0,0
12,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,57,0,0,0,0,0,0,0,0,0,9,16,1,8,6,16,1,0,7,55,0,1,0,70,0,0,-1122,11,2,0,13,0,0,0
13,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,43,35,4,18,0,1,1,10,0,1,0,6,0,6,4,23,0,4,4,69,0,1,1,74,0,1,-3922,39,2,0,41,0,0,0
14,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,51,0,0,0,0,0,0,0,0,0,0,24,0,3,4,17,0,3,4,63,0,0,0,70,0,0,-3011,30,1,0,31,0,0,0
15,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,87,29,6,13,1,2,1,5,0,1,11,32,1,12,0,31,0,0,6,71,1,2,1,68,0,1,-3511,35,1,0,36,0,0,0
16,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,57,8,1,0,0,1,0,6,0,0,3,19,2,3,3,23,2,2,1,61,0,1,0,69,0,0,-6100,61,0,0,61,0,0,0
17,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,48,25,1,13,0,0,1,7,1,2,1,15,1,3,4,21,0,3,1,66,0,0,1,73,1,2,-4422,44,2,0,46,0,0,0
18,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,56,0,0,0,0,0,0,0,0,0,5,18,2,2,0,23,6,0,0,62,0,0,0,69,0,0,-3511,35,1,0,36,0,0,0
19,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,40,34,5,12,1,2,3,11,0,0,9,7,2,0,5,17,0,0,5,65,1,2,3,74,0,0,-4111,41,1,0,42,0,0,0
20,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,52,0,0,0,0,0,0,0,0,0,7,20,0,1,0,20,0,4,0,62,0,0,0,71,0,0,-2322,23,2,0,25,0,0,0
21,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,57,27,3,6,0,2,6,10,0,0,7,20,0,6,9,15,0,0,3,66,0,2,6,73,0,0,-4200,42,0,0,42,0,0,0
22,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,59,5,0,1,0,1,1,2,0,0,9,15,0,11,0,22,0,2,0,62,0,1,1,70,0,0,-3622,36,2,0,38,0,0,0
23,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,35,29,5,7,1,1,1,11,2,1,3,9,4,4,1,14,0,0,5,63,1,1,1,73,2,1,-4300,43,0,0,43,0,0,0
24,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,37,0,0,0,0,0,0,0,0,0,2,16,0,2,6,11,0,0,1,61,0,0,0,69,0,0,-1933,19,3,0,22,0,0,0
25,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,43,27,4,13,0,0,3,5,0,2,5,13,0,5,4,16,0,0,4,69,0,0,3,72,0,2,-2911,29,1,0,30,0,0,0
26,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,38,0,0,0,0,0,0,0,0,0,5,14,0,6,5,8,0,0,2,63,0,0,0,69,0,0,-2711,27,1,0,28,0,0,0
27,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,59,23,4,11,0,1,1,6,0,0,2,18,0,9,8,18,0,4,4,73,0,1,1,71,0,0,-3122,31,2,0,33,0,0,0
28,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,55,0,0,0,0,0,0,0,0,0,3,22,0,4,7,19,0,0,0,69,0,0,0,66,0,0,-4400,44,0,0,44,0,0,0
29,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,39,27,7,9,0,1,1,9,0,0,2,16,1,5,3,11,0,1,7,73,0,1,1,68,0,0,-4322,43,2,0,45,0,0,0
30,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,56,0,0,0,0,0,0,0,0,0,7,12,0,6,1,25,3,2,0,69,0,0,0,65,0,0,-2322,23,2,0,25,0,0,0
31,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,46,30,4,12,0,3,1,9,1,0,0,19,0,2,6,18,0,1,4,71,0,3,1,70,1,0,-4211,42,1,0,43,0,0,0
32,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,54,0,0,0,0,0,0,0,0,0,7,24,0,5,3,14,0,1,0,67,0,0,0,64,0,0,-2744,27,4,0,31,0,0,0
33,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,43,26,4,13,1,1,1,4,0,2,2,20,0,4,0,14,0,3,4,77,1,1,1,64,0,2,-4700,47,0,0,47,0,0,0
34,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,62,3,0,0,0,1,0,2,0,0,4,27,0,5,4,22,0,0,0,68,0,1,0,64,0,0,-2300,23,0,0,23,0,0,0
35,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,35,30,3,12,0,2,3,9,0,1,2,15,0,2,2,13,0,1,3,77,0,2,3,62,0,1,-4700,47,0,0,47,0,0,0
36,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,64,0,0,0,0,0,0,0,0,0,10,19,0,7,3,24,0,1,0,74,0,0,0,56,0,0,-1700,17,0,0,17,0,0,0
37,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,58,36,3,16,0,2,2,13,0,0,4,26,3,6,4,13,2,0,3,82,0,2,2,61,0,0,-4811,48,1,0,49,0,0,0
38,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,56,0,0,0,0,0,0,0,0,0,1,25,0,3,2,20,0,5,0,77,0,0,0,56,0,0,-4111,41,1,0,42,0,0,0
39,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,43,27,5,11,0,2,2,7,0,0,4,20,0,1,3,14,0,1,5,83,0,2,2,58,0,0,-4600,46,0,0,46,0,0,0
40,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,61,0,0,0,0,0,0,0,0,0,3,26,3,1,2,20,2,4,5,76,0,0,0,57,0,0,-3122,31,2,0,33,0,0,0
41,True,reg_12,request_scratch,cau100_afr0_asi0_12,regional_12,50,150,730,70,0,0.98,0.01,0.7847167237347998,0.001,0.5,50,39,27,3,13,0,1,2,7,0,1,0,21,2,4,1,9,0,2,3,82,0,1,2,61,0,1,-4600,46,0,0,46,0,0,0
