day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon anneal,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,53,150,19,53,2,13,13,50,0,0,3,14,2,4,2,26,2,0,19,53,2,13,13,50,0,0,-466,0.0,8,6,0,14,0,0,0
1,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,33,0,0,0,0,0,0,0,0,0,4,15,0,0,1,11,2,0,14,51,0,12,9,19,0,0,-311,0.0,6,1,0,7,0,0,0
2,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,95,72,14,28,0,4,1,25,0,0,8,39,2,6,2,27,0,11,25,77,0,14,9,25,0,0,-2750,0.0,55,0,0,55,0,0,0
3,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,32,0,0,0,0,0,0,0,0,0,0,9,3,0,1,14,0,5,21,73,0,10,6,0,0,0,-1261,0.0,25,1,0,26,0,0,0
4,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,38,47,8,24,0,0,3,12,0,0,4,17,1,3,2,6,0,5,26,97,0,7,8,12,0,0,-2746,0.0,16,1,1935,17,0,0,0
5,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,32,33,5,12,1,2,4,9,0,0,3,8,0,1,1,14,0,5,27,64,1,6,8,9,0,0,-611,0.0,12,1,0,13,0,0,0
6,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,49,32,4,13,1,3,1,10,0,0,5,20,0,0,2,18,0,4,30,74,1,6,6,10,0,0,-3034,0.0,26,2,1712,28,0,0,0
7,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,38,59,9,24,0,2,6,17,1,0,0,18,0,2,2,10,2,4,26,73,0,4,9,17,1,0,-433,0.0,8,3,0,11,0,0,0
8,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,43,12,2,5,1,1,3,0,0,0,0,16,0,9,6,12,0,0,26,76,1,1,7,1,0,0,-2645,0.0,32,1,1034,33,0,0,0
9,True,reg_14,request_scratch,cau100_afr0_asi0_14,regional_14,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,52,60,8,27,1,5,1,17,0,1,2,19,2,14,2,11,0,2,28,81,1,5,7,17,0,1,-2084,0.0,25,1,823,26,0,0,0
