day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon anneal,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,117,150,27,58,6,3,12,41,0,3,9,51,1,7,7,36,0,6,27,58,6,3,12,41,0,3,-4150,0.0,83,0,0,83,0,0,0
1,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,98,0,0,0,0,0,0,0,0,0,5,35,2,4,11,36,0,5,20,54,6,0,0,36,0,0,-3905,0.0,77,5,0,82,0,0,0
2,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,171,55,11,20,1,1,3,18,0,1,13,56,4,7,21,63,2,5,29,67,1,1,3,48,0,1,-6844,0.0,136,4,0,140,0,0,0
3,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,101,0,0,0,0,0,0,0,0,0,5,39,4,5,8,36,2,2,18,54,0,0,0,43,0,0,-4250,0.0,85,0,0,85,0,0,0
4,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,58,51,4,27,0,3,3,13,0,1,0,34,0,1,4,19,0,0,18,72,0,3,3,53,0,1,-4717,0.0,41,2,2645,43,0,0,0
5,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,17,14,2,4,0,3,0,5,0,0,3,3,0,6,2,3,0,0,16,51,0,3,0,36,0,0,-611,0.0,12,1,0,13,0,0,0
6,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,22,37,4,12,1,3,5,11,0,1,0,8,0,1,2,9,2,0,17,63,1,4,5,47,0,1,-1581,0.0,12,2,959,14,0,0,0
7,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,41,33,4,11,2,4,3,8,0,1,0,21,0,4,1,12,0,3,14,54,3,6,3,37,0,2,-1244,0.0,24,4,0,28,0,0,0
8,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,51,21,5,7,0,2,1,6,0,0,6,24,0,2,3,12,1,3,15,60,1,5,1,41,0,0,-3863,0.0,41,2,1791,43,0,0,0
9,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,46,52,12,17,1,2,6,12,0,2,2,19,0,4,4,15,0,2,26,51,1,3,6,42,0,2,-1758,0.0,28,1,347,29,0,0,0
10,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,72,2,0,0,0,0,1,1,0,0,7,17,4,4,2,36,0,2,23,47,0,0,1,38,0,0,-3956,0.0,56,0,1156,56,0,0,0
11,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,66,66,16,23,1,7,2,13,0,4,5,37,0,3,3,18,0,0,37,58,1,7,2,40,0,4,-3852,0.0,52,3,1219,55,0,0,0
12,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,25,0,0,0,0,0,0,0,0,0,6,5,1,1,2,10,0,0,33,47,0,6,0,32,0,1,-1358,0.0,19,2,386,21,0,0,0
13,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,54,51,9,12,0,3,7,19,0,1,2,20,0,10,0,22,0,0,37,52,0,8,7,45,0,1,-3779,0.0,37,0,1929,37,0,0,0
14,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,71,6,1,2,0,1,0,2,0,0,4,29,0,5,11,22,0,0,26,37,0,9,0,35,0,0,-2870,0.0,57,1,9,58,0,0,0
15,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,101,51,5,19,0,1,3,22,1,0,2,44,1,3,7,42,0,2,25,55,0,6,3,54,1,0,-7310,0.0,76,3,3477,79,0,0,0
16,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,78,11,1,5,0,1,0,4,0,0,8,21,3,7,8,27,0,4,16,38,0,2,0,47,0,0,-3211,0.0,64,1,0,65,0,0,0
17,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,103,51,6,16,4,2,8,14,0,1,2,40,1,3,8,42,2,5,17,50,4,2,8,58,0,1,-5746,0.0,75,1,1985,76,0,0,0
18,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,50,17,3,5,0,1,2,6,0,0,3,26,2,2,5,9,0,3,16,47,0,1,2,48,0,0,-2125,0.0,40,1,114,41,0,0,0
19,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,29,33,8,10,0,4,0,10,0,1,0,13,2,1,2,9,0,2,23,53,0,4,0,55,0,1,-2102,0.0,20,1,1091,21,0,0,0
20,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,19,26,5,10,0,1,0,9,0,1,0,0,0,2,0,17,0,0,23,46,0,4,0,43,0,2,-919,0.0,14,3,186,17,0,0,0
21,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,35,19,3,6,0,2,3,5,0,0,6,13,0,2,1,9,3,1,25,47,0,4,3,44,0,1,-2306,0.0,23,2,1134,25,0,0,0
22,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,43,52,10,22,1,1,4,14,0,0,5,22,0,2,1,13,0,0,29,53,1,3,4,44,0,0,-1918,0.0,29,1,457,30,0,0,0
23,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,57,0,0,0,0,0,0,0,0,0,5,22,0,4,0,26,0,0,26,48,0,0,0,38,0,0,-4029,0.0,52,0,1429,52,0,0,0
24,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,51,66,6,23,1,7,6,21,0,2,2,21,0,8,6,13,0,1,24,61,1,7,6,49,0,2,-2545,0.0,29,4,1051,33,0,0,0
25,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,64,0,0,0,0,0,0,0,0,0,11,10,0,3,3,34,2,1,19,51,0,1,0,40,0,0,-3397,0.0,55,0,647,55,0,0,0
26,True,reg_1,request_scratch,cau100_afr0_asi0_1,regional_1,50,150,912,70,0,1,0.01,0.4,0.001,0.98,50,63,54,12,19,0,6,5,12,0,0,10,24,0,5,3,18,2,1,27,64,0,7,5,47,0,0,-5098,0.0,50,0,2598,50,0,0,0
